super 3.0	super 4.0.0
<key>JamfProID</key> <string>$JSSID</string>	<key>AuthJamfComputerID</key> <string>$JSSID</string>
<key>DefaultDefer</key> <string>seconds</string>	<key>DeferralTimerDefault</key> <string>minutes</string>
<key>FocusDefer</key> <string>seconds</string>	<key>DeferralTimerFocus</key> <string>minutes</string>
<key>MenuDefer</key> <string>seconds,seconds,etc...</string>	<key>DeferralTimerMenu</key> <string>minutes,minutes,etc...</string>
<key>RecheckDefer</key> <string>seconds</string>	<key>DeferralTimerWorkflowRelaunch</key> <string>minutes</string>
<key>ErrorDefer</key> <string>seconds</string>	<key>DeferralTimerError</key> <string>minutes</string>
<key>FocusCount</key> <string>number</string>	<key>DeadlineCountFocus</key> <string>number</string>
<key>SoftCount</key> <string>number</string>	<key>DeadlineCountSoft</key> <string>number</string>
<key>HardCount</key> <string>number</string>	<key>DeadlineCountHard</key> <string>number</string>
<key>FocusDays</key> <string>number</string>	<key>DeadlineDaysFocus</key> <string>number</string>
<key>SoftDays</key> <string>number</string>	<key>DeadlineDaysSoft</key> <string>number</string>
<key>HardDays</key> <string>number</string>	<key>DeadlineDaysHard</key> <string>number</string>
<key>ZeroDay</key> <string>YYYY-MM-DD:hh:mm</string>	<key>WorkflowZeroDateManual</key> <string>YYYY-MM-DD:hh:mm</string>
<key>FocusDate</key> <string>YYYY-MM-DD:hh:mm</string>	<key>DeadlineDateFocus</key> <string>YYYY-MM-DD:hh:mm</string>
<key>SoftDate</key> <string>YYYY-MM-DD:hh:mm</string>	<key>DeadlineDateSoft</key> <string>YYYY-MM-DD:hh:mm</string>
<key>HardDate</key> <string>YYYY-MM-DD:hh:mm</string>	<key>DeadlineDateHard</key> <string>YYYY-MM-DD:hh:mm</string>
<key>DeferDialogTimeout</key> <string>seconds</string>	<key>DialogTimeoutRestartOrDefer</key> <string>seconds</string>
<key>SoftDialogTimeout</key> <string>seconds</string>	<key>DialogTimeoutSoftDeadline</key> <string>seconds</string>
<key>DisplayRedraw</key> <string>seconds</string>	REMOVED
<key>DisplayIcon</key> <string>path</string>	<key>DisplayIconFile</key> <string>path</string>
