super 3.0	super 4.0.0
--default-defer=seconds	--deferral-timer-default=minutes
--focus-defer=seconds	--deferral-timer-focus=minutes
--menu-defer=seconds,seconds,etc...	--deferral-timer-menu=minutes,minutes,etc...
--error-defer=seconds	--deferral-timer-error=minutes
--recheck-defer=seconds	--deferral-timer-workflow-relaunch=minutes
--delete-deferrals	--deferral-timer-reset-all
--focus-count=number	--deadline-count-focus=number
--soft-count=number	--deadline-count-soft=number
--hard-count=number	--deadline-count-hard=number
--restart-counts	--deadline-count-restart-all
--delete-counts	--deadline-count-delete-all
--focus-days=number	--deadline-days-focus=number
--soft-days=number	--deadline-days-soft=number
--hard-days=number	--deadline-days-hard=number
--zero-day=YYYY-MM-DD:hh:mm	--workflow-zero-date-manual=YYYY-MM-DD:hh:mm
--restart-days	--deadline-days-restart-all
--delete-days	--deadline-days-delete-all
--focus-date=YYYY-MM-DD:hh:mm	--deadline-date-focus=YYYY-MM-DD:hh:mm
--soft-date=YYYY-MM-DD:hh:mm	--deadline-date-soft=YYYY-MM-DD:hh:mm
--hard-date=YYYY-MM-DD:hh:mm	--deadline-date-hard=YYYY-MM-DD:hh:mm
--delete-dates	--deadline-date-delete-all
--defer-dialog-timeout=seconds	--dialog-timeout-restart-or-defer=seconds
--soft-dialog-timeout=seconds	--dialog-timeout-soft-deadline=seconds
--display-redraw=seconds	REMOVED
--display-icon=/local/path or URL	--display-icon-file=/local/path or URL
--icon-size-ibm=pixels	--display-icon-size=pixels
--icon-size-jamf=pixels	REMOVED
--display-accessory-type=TEXTBOX|HTMLBOX|HTML|IMAGE|VIDEO|VIDEOAUTO	--display-accessory-type=TEXTBOX|HTMLBOX|HTML|IMAGE|VIDEO|VIDEOAUTO
--display-accessory-default=/local/path or URL	--display-accessory-default-file=/local/path or URL
--display-accessory-update=/local/path or URL	--display-accessory-update-file=/local/path or URL
--display-accessory-upgrade=/local/path or URL	--display-accessory-upgrade-file=/local/path or URL
--display-accessory-user-auth=/local/path or URL	--display-accessory-user-auth-file=/local/path or URL
--help-button=plain text or URL	--display-help-button-string=plain text or URL
--warning-button=plain text or URL	--display-warning-button-string=plain text or URL
--display-silently	--display-silently=ALWAYS,SOFT,HARD,INSTALLNOW,DEFER,USERAUTH,POWER,STORAGE
--display-silently-off	--display-silently=X
--prefer-jamf-helper	REMOVED
--prefer-jamf-helper-off	REMOVED
--local-account=AccountName	--auth-local-account=AccountName
--local-password=Password	--auth-local-password=Password
--admin-account=AccountName	--auth-service-add-via-admin-account=AccountName
--admin-password=Password	--auth-service-add-via-admin-password=Password
--super-account=AccountName	--auth-service-account=AccountName
--super-password=Password	--auth-service-password=Password
--jamf-account=AccountName	--auth-jamf-account=AccountName
--jamf-password=Password	--auth-jamf-password=Password
--delete-accounts	--auth-delete-all
--user-auth-timeout=seconds	--dialog-timeout-user-auth=seconds
--user-auth-mdm-failover=ALWAYS,NOSERVICE,SOFT,HARD,INSTALLNOW,BOOTSTRAP	--auth-mdm-failover-to-user=ALWAYS,NOSERVICE,SOFT,HARD,INSTALLNOW,BOOTSTRAP
--allow-upgrade	--install-macos-major-upgrades
--allow-upgrade-off	--install-macos-major-upgrades-off
--target-upgrade=version	--install-macos-major-version-target=number
--allow-rsr-updates	--install-rapid-security-responses
--allow-rsr-updates-off	--install-rapid-security-responses-off
--enforce-non-system-updates	--install-non-system-updates-without-restarting
--enforce-non-system-updates-off	--install-non-system-updates-without-restarting-off
--only-download	--workflow-only-download
--only-download-off	--workflow-only-download-off
--install-now	--workflow-install-now
--install-now-off	REMOVED
--policy-triggers=PolicyTrigger,PolicyTrigger,etc...	--workflow-jamf-policy-triggers=PolicyTrigger,PolicyTrigger,etc...
--skip-updates	--workflow-disable-update-check
--skip-updates-off	--workflow-disable-update-check-off
--restart-without-updates	--workflow-restart-without-updates
--restart-without-updates-off	--workflow-restart-without-updates-of
--free-space-update=gigabytes	--test-storage-update=gigabytes
--free-space-upgrade=gigabytes	--test-storage-upgrade=gigabytes
--free-space-timeout=seconds	--dialog-timeout-insufficient-storage=seconds
--battery-level=percentage	--test-battery-level=percentage
--battery-timeout=seconds	--dialog-timeout-power-required=seconds
--test-mode	--test-mode
--test-mode-off	--test-mode-off
--test-mode-timeout=seconds	--test-mode-timeout=seconds
--verbose-mode	--verbose-mode
--verbose-mode-off	--verbose-mode-off
--open-logs	--open-logs
--reset-super	--reset-super
--usage	--usage
--help	--help
