super 5.1.x	super 5.0.x	super 4.0.x	super 3.0
<key>AuthJamfComputerID</key> <string>$JSSID</string>	<key>AuthJamfComputerID</key> <string>$JSSID</string>	<key>AuthJamfComputerID</key> <string>$JSSID</string>	<key>JamfProID</key> <string>$JSSID</string>
<key>InstallMacOSMajorUpgrades</key> <true/> | <false/>	<key>InstallMacOSMajorUpgrades</key> <true/> | <false/>	<key>InstallMacOSMajorUpgrades</key> <true/> | <false/>	<key>AllowUpgrade</key> <true/> | <false/>
<key>InstallMacOSMajorVersionTarget</key> <string>version</string>	<key>InstallMacOSMajorVersionTarget</key> <string>version</string>	<key>InstallMacOSMajorVersionTarget</key> <string>version</string>	<key>TargetUpgrade</key> <string>version</string>
<key>InstallRapidSecurityResponses</key> <true/> | <false/>	<key>InstallRapidSecurityResponses</key> <true/> | <false/>	<key>InstallRapidSecurityResponses</key> <true/> | <false/>	<key>AllowRSRUpdates</key> <true/> | <false/>
<key>InstallNonSystemUpdatesWithoutRestarting</key> <true/> | <false/>	<key>InstallNonSystemUpdatesWithoutRestarting</key> <true/> | <false/>	<key>InstallNonSystemUpdatesWithoutRestarting</key> <true/> | <false/>	<key>EnforceNonSystemUpdates</key> <true/> | <false/>
<key>InstallSafariUpdateWithoutRestarting</key> <true/> | <false/>	N/A	N/A	N/A
<key>InstallPrioritizeNonRestartUpdates</key> <true/> | <false/>	N/A	N/A	N/A
"<key>InstallJamfPolicyTriggers</key> <string>PolicyTrigger,PolicyTrigger,etc…</string>"	"<key>InstallJamfPolicyTriggers</key> <string>PolicyTrigger,PolicyTrigger,etc…</string>"	"<key>WorkflowJamfPolicyTriggers</key> <string>PolicyTrigger,PolicyTrigger,etc...</string>"	"<key>PolicyTriggers</key> <string>PolicyTrigger,PolicyTrigger,etc...</string>"
<key>InstallJamfPolicyTriggersWithoutRestarting</key> <true/> | <false/>	<key>InstallJamfPolicyTriggersWithoutRestarting</key> <true/> | <false/>	N/A	N/A
<key>WorkflowInstallNow</key> <true/> | <false/>	<key>WorkflowInstallNow</key> <true/> | <false/>	REMOVED	<key>InstallNow</key> <true/> | <false/>
