super 5.0.x	super 4.0.x	super 3.0
--install-macos-major-upgrades	--install-macos-major-upgrades	--allow-upgrade
--install-macos-major-upgrades-off	--install-macos-major-upgrades-off	--allow-upgrade-off
--install-macos-major-version-target=number	--install-macos-major-version-target=number	--target-upgrade=version
--install-rapid-security-responses	--install-rapid-security-responses	--allow-rsr-updates
--install-rapid-security-responses-off	--install-rapid-security-responses-off	--allow-rsr-updates-off
--install-non-system-updates-without-restarting	--install-non-system-updates-without-restarting	--enforce-non-system-updates
--install-non-system-updates-without-restarting-off	--install-non-system-updates-without-restarting-off	--enforce-non-system-updates-off
--install-jamf-policy-triggers=PolicyTrigger,PolicyTrigger,etc...	--workflow-jamf-policy-triggers=PolicyTrigger,PolicyTrigger,etc...	--policy-triggers=PolicyTrigger,PolicyTrigger,etc...
--install-jamf-policy-triggers-without-restarting	N/A	N/A
--install-jamf-policy-triggers-without-restarting-off	N/A	N/A
--workflow-install-now	--workflow-install-now	--install-now
--workflow-install-now-off	REMOVED	--install-now-off
--workflow-only-download	--workflow-only-download	--only-download
--workflow-only-download-off	--workflow-only-download-off	--only-download-off
--workflow-restart-without-updates	--workflow-restart-without-updates	--restart-without-updates
--workflow-restart-without-updates-off	--workflow-restart-without-updates-off	--restart-without-updates-off
--workflow-disable-update-check	--workflow-disable-update-check	--skip-updates
--workflow-disable-update-check-off	--workflow-disable-update-check-off	--skip-updates-off
--workflow-disable-relaunch	--workflow-disable-relaunch	N/A
--workflow-disable-relaunch-off	--workflow-disable-relaunch-off	N/A
--workflow-reset-super-after-completion	N/A	N/A
--deferral-timer-default=minutes	--deferral-timer-default=minutes	--default-defer=seconds
--deferral-timer-menu=minutes,minutes,etc...	--deferral-timer-menu=minutes,minutes,etc...	--menu-defer=seconds,seconds,etc...
--deferral-timer-focus=minutes	--deferral-timer-focus=minutes	--focus-defer=seconds
--deferral-timer-error=minutes	--deferral-timer-error=minutes	--error-defer=seconds
--deferral-timer-workflow-relaunch=minutes	--deferral-timer-workflow-relaunch=minutes	--recheck-defer=seconds
--deferral-timer-reset-all	--deferral-timer-reset-all	--delete-deferrals
--schedule-workflow-active=DAY:hh:mm-hh:mm,DAY:hh:mm-hh:mm,etc...	N/A	N/A
--schedule-zero-date-release	N/A	N/A
--schedule-zero-date-release-off	N/A	N/A
--schedule-zero-date-sofa-custom-url=URL	N/A	N/A
--schedule-zero-date-manual=YYYY-MM-DD:hh:mm	--workflow-zero-date-manual=YYYY-MM-DD:hh:mm	--zero-day=YYYY-MM-DD:hh:mm
--scheduled-install-days=number	N/A	N/A
--scheduled-install-date=YYYY-MM-DD:hh:mm	N/A	N/A
--scheduled-install-user-choice	N/A	N/A
--scheduled-install-user-choice-off	N/A	N/A
--scheduled-install-reminder=minutes,minutes,etc...	N/A	N/A
--scheduled-install-delete-all	N/A	N/A
--deadline-count-focus=number	--deadline-count-focus=number	--focus-count=number
--deadline-count-soft=number	--deadline-count-soft=number	--soft-count=number
--deadline-count-hard=number	--deadline-count-hard=number	--hard-count=number
--deadline-count-restart-all	--deadline-count-restart-all	--restart-counts
--deadline-count-delete-all	--deadline-count-delete-all	--delete-counts
--deadline-days-focus=number	--deadline-days-focus=number	--focus-days=number
