super 5.1.x Supports Alternate Config	super 5.1.x	super 5.0.x	super 4.0.x	super 3.0
N/A	--usage	--usage	--usage	--usage
N/A	--help	--help	--help	--help
N/A	--version	N/A	N/A	N/A
YES	--install-macos-major-upgrades	--install-macos-major-upgrades	--install-macos-major-upgrades	--allow-upgrade
YES	--install-macos-major-upgrades-off	--install-macos-major-upgrades-off	--install-macos-major-upgrades-off	--allow-upgrade-off
YES	--install-macos-major-version-target=number	--install-macos-major-version-target=number	--install-macos-major-version-target=number	--target-upgrade=version
YES	--install-rapid-security-responses	--install-rapid-security-responses	--install-rapid-security-responses	--allow-rsr-updates
YES	--install-rapid-security-responses-off	--install-rapid-security-responses-off	--install-rapid-security-responses-off	--allow-rsr-updates-off
YES	--install-non-system-updates-without-restarting	--install-non-system-updates-without-restarting	--install-non-system-updates-without-restarting	--enforce-non-system-updates
YES	--install-non-system-updates-without-restarting-off	--install-non-system-updates-without-restarting-off	--install-non-system-updates-without-restarting-off	--enforce-non-system-updates-off
YES	--install-safari-update-without-restarting	N/A	N/A	N/A
YES	--install-safari-update-without-restarting-off	N/A	N/A	N/A
YES	--install-prioritize-non-restart-updates	N/A	N/A	N/A
YES	--install-prioritize-non-restart-updates-off	N/A	N/A	N/A
YES	"--install-jamf-policy-triggers=PolicyTrigger,PolicyTrigger,etc..."	"--install-jamf-policy-triggers=PolicyTrigger,PolicyTrigger,etc..."	"--workflow-jamf-policy-triggers=PolicyTrigger,PolicyTrigger,etc..."	"--policy-triggers=PolicyTrigger,PolicyTrigger,etc..."
YES	--install-jamf-policy-triggers-without-restarting	--install-jamf-policy-triggers-without-restarting	N/A	N/A
YES	--install-jamf-policy-triggers-without-restarting-off	--install-jamf-policy-triggers-without-restarting-off	N/A	N/A
YES	--workflow-install-now	--workflow-install-now	--workflow-install-now	--install-now
YES	--workflow-install-now-off	--workflow-install-now-off	REMOVED	--install-now-off
YES	--workflow-only-download	--workflow-only-download	--workflow-only-download	--only-download
YES	--workflow-only-download-off	--workflow-only-download-off	--workflow-only-download-off	--only-download-off
YES	--workflow-require-active-user	N/A	N/A	N/A
YES	--workflow-require-active-user-off	N/A	N/A	N/A
YES	--workflow-restart-without-updates	--workflow-restart-without-updates	--workflow-restart-without-updates	--restart-without-updates
YES	--workflow-restart-without-updates-off	--workflow-restart-without-updates-off	--workflow-restart-without-updates-off	--restart-without-updates-off
YES	--workflow-disable-update-check	--workflow-disable-update-check	--workflow-disable-update-check	--skip-updates
YES	--workflow-disable-update-check-off	--workflow-disable-update-check-off	--workflow-disable-update-check-off	--skip-updates-off
YES	--workflow-disable-relaunch	--workflow-disable-relaunch	--workflow-disable-relaunch	N/A
YES	--workflow-disable-relaunch-off	--workflow-disable-relaunch-off	--workflow-disable-relaunch-off	N/A
YES	--workflow-reset-super-after-completion	--workflow-reset-super-after-completion	N/A	N/A
YES	--workflow-reset-super-after-completion-off	N/A	N/A	N/A
YES	--deferral-timer-default=minutes	--deferral-timer-default=minutes	--deferral-timer-default=minutes	--default-defer=seconds
YES	"--deferral-timer-menu=minutes,minutes,etc..."	"--deferral-timer-menu=minutes,minutes,etc..."	"--deferral-timer-menu=minutes,minutes,etc..."	"--menu-defer=seconds,seconds,etc..."
YES	--deferral-timer-focus=minutes	--deferral-timer-focus=minutes	--deferral-timer-focus=minutes	--focus-defer=seconds
YES	--deferral-timer-error=minutes	--deferral-timer-error=minutes	--deferral-timer-error=minutes	--error-defer=seconds
YES	--deferral-timer-workflow-relaunch=minutes	--deferral-timer-workflow-relaunch=minutes	--deferral-timer-workflow-relaunch=minutes	--recheck-defer=seconds
YES	--deferral-timer-reset-all	--deferral-timer-reset-all	--deferral-timer-reset-all	--delete-deferrals
YES	"--schedule-workflow-active=DAY:hh:mm-hh:mm,DAY:hh:mm-hh:mm,etc..."	"--schedule-workflow-active=DAY:hh:mm-hh:mm,DAY:hh:mm-hh:mm,etc..."	N/A	N/A
YES	--schedule-deferred-start-file=/local/path	N/A	N/A	N/A
YES	--schedule-deferred-start-days=number	N/A	N/A	N/A
YES	--schedule-zero-date-release	--schedule-zero-date-release	N/A	N/A
YES	--schedule-zero-date-release-off	--schedule-zero-date-release-off	N/A	N/A
YES	--schedule-zero-date-sofa-custom-url=URL	--schedule-zero-date-sofa-custom-url=URL	N/A	N/A
YES	--schedule-zero-date-manual=YYYY-MM-DD:hh:mm	--schedule-zero-date-manual=YYYY-MM-DD:hh:mm	--workflow-zero-date-manual=YYYY-MM-DD:hh:mm	--zero-day=YYYY-MM-DD:hh:mm
YES	--scheduled-install-days=number	--scheduled-install-days=number	N/A	N/A
YES	--scheduled-install-date=YYYY-MM-DD:hh:mm	--scheduled-install-date=YYYY-MM-DD:hh:mm	N/A	N/A
YES	--scheduled-install-user-choice	--scheduled-install-user-choice	N/A	N/A
